Name,Description,Long Description,Parts,Related Blocks
pencil,"Allow you to draw in space, using a color, width of the line and lifetime.",,pencil () ; GRAB () ; Manual Draw () Tigger line drawing manually with jolt input.; Thickness () Thickness of the line.; Thickness () Thickness of the line.,
peppermill,,,ValveRoot () ; ValveEventReciver () ; valveHandle () ; Grab sphere VR () ,
pink_noise,"Pink noise generator, outputting a signal with 1/f^a energy across the frequency spectrum.",,glass () ,noise
pitchshifter,Transpose sound in real time.,,s_IN_0 () ; s_IN_1 () ,
plate,"plate filter : input, freq, hammerX, hammerY, freqDedLoss, freqInDepLoss",,s_IN_0 () ; s_IN_1 () ; s_IN_2 () ; s_IN_3 () ; s_IN_4 () ; s_IN_5 () ,
play_button,Press the button - triggers a jolt input when activated.,,Button () Button; Emmiter () Emits jolt of active value; e_I () Jolt input,
plot,,,s_IN () ; esReciver () ,
pluck,,,s_IN_0 () ; s_IN_1 () ; s_IN_2 () ,
power,Calculates stream value A to the power of stream value B,,A (stream input) Base value A; B (stream input) Exponent value B,"log, power_jolt"
power_jolt,Calculates jolt input to the power of stream input.,,"Exponent (stream input) Sets the exponent value (without triggering the output).; Calculate (jolt input) Receives value which will be raised to the power of stream input, triggers the calculation.; toggle () Toggle; Result (jolt output) Emits calculated value as jolt.","logarithm_jolt, power"
previous,Delays the incoming stream by a single sample.,,Input (stream input) The stream to delay by a single sample.,
prop_firstmask,,,VR Grab Handle Named () ,
prop_highplatform,,,VR Grab Handle Named () ,
prop_neuron,,,VR Grab Handle Named () ,
prop_neurons,,,VR Grab Handle Named () ,
prop_particles,,,VR Grab Handle Named () ,
prop_platform,,,VR Grab Handle Named () ,
prop_swimmingpool,,,VR Grab Handle Named () ,
prop_underwaterparticles,,,VR Grab Handle Named () ,
prop_wireframe,,,VR Grab Handle Named () ,
pulse,Outputs a pulse with a duration set by the duration input. A pulse is a stream with a value of one for a specified period and zero elsewhere.,,Duration (stream input) The duration of the pulse. The default value 0.00003 corresponds to one sample.; Trigger (interactive) Triggers the pulse.,
purchase,Allows to other users to send coins for you as tips or as pay for the content.,,"On purchasing (jolt output) Signals when the purchasing is in process.; On purchasing is finished (jolt output) Signals when the purchasing process is ended. -1 means cancelled purchase, while value 1 means successful operation.; Set cost (jolt input) Sets the price in coins.; Make purchase (jolt input) Starts the transaction.",
rail,Attach other blocks to it use click and drag. Then changing its input value will translate them.,,length () ; position () ; octobody (1) () ,
random,Outputs a random decimal number between 0 and <b>Max</b>.,,Button (interactive) Triggers the output to emit a new random value.; Max random value (interactive) Sets random max value.; Calculate (jolt input) Send a jolt value to this input to trigger this block to emit a new random value. The value of the jolt will determine the maximum value of the random number.; Output (jolt output) Emits random value.,"noise, pink_noise, bernoulli"
rangedfor,"Instantly sends N events, from zero to N-1, when triggered.",,"Set (jolt input) Triggers the process of sending jolts from 0 to N-1 (where N is set by the received jolt value).; Output (jolt output) Emits jolts from zero to N-1.; Knob (interactive) Sets N, the number of jolt to output when triggered.; Button (interactive) Triggers the process of sending jolts from 0 to N-1 (where N is set by the knob).",nth
readout,"Display a number. Used for building interfaces, debugging and learning.",,Display (visual) Shows the number set via the stream input; Input (stream input) Send a stream or jolt to display it's value.,
reset_button,Press the button - triggers a jolt input when activated.,,Button () Button; Emitter () Emits jolt of active value; e_I () Jolt input,
reverb,Adds reverberation to a stream using a feedback delay network algorithm.,,Signal input (stream input) The stream to apply reverb to.; Decay time (stream input) Controls how long it takes for the sound to die out (in seconds); Absorption (stream input) Controls the decay time of the reverbs high frequencies. (0-1); Mix (stream input) Controls the dry/wet mix of the output.,"reverb_tank, delay"
reverb_tank,Applies reverb to the incoming signal.,,Signal input (stream input) The stream to apply reverb to.; decay_time (stream input) Controls how long it takes for the sound to die out (in seconds).; Absorption (stream input) Controls the decay time of the reverbs high frequencies. (0-1); Mix (stream input) Controls the dry/wet mix of the output.,"reverb, delay"
rhythm,"Outputs events at musical intervals. The master beat_time is used as the default clock, unless something is attached to the clock stream input. Also outputs a normalized stream value indicating how far along we are in the period.",,"offset (knob) How many beats the output event is offset in time compared to the input clock.; period (knob) How many subdivisions there are pr. period. E.g. a value of 3 will cause an event to fire every third subdivision.; subdivision (knob) How many times to divide the beat when counting a period. E.g. a value of 2 will count two times every beat.; clock (stream input) Usually an increasing counter, counting the beats that determine when the period_begin should fire.; period_begin (event output) Emits an event whenever a new period starts.; Sphere () ",
rms,Calculates the root mean square of the incoming signal over a period of time. For example can be used to make an envelope follower.,,Signal input (stream input) Signal for which the root mean square will be calculated.; Window size (stream input) Size of the analysis window (in seconds).,
rotor,Attach other blocks to it use click and drag. Then changing its input value will rotate them.,,rotation () ; grabber () ,
round,Rounds incoming number with decimal value to the nearest whole number.,,"s_IN_0 ()  a; Input (stream input) The number that will be rounded to the nearest whole number.","floor, modulo"
rton,Maps our input from {a to b} to {-1 to 1},,s_IN_0_value () ; s_IN_1_min () ; s_IN_1_max () ,
rtou,Maps an input from range {A to B} to unit range {0 to 1},,Input (stream input) Value to be mapped.; A (stream input) Input range lower value.; B (stream input) Input range upper value.,"utor, map, clamp"
sample,,,Grab_interactiveBase () ; Hit_interactiveBase () ,
sample_and_hold,Stores the value of a signal when a clock or event is received.,,Clock input (stream input) Each time when this values goes high the input signal value will be held.; Signal input (stream input) Signal to be sampled.; sample () Sample,
sample_info,,,trigger () ; GRAB (1) () ; sample_duration () ; num_beats () ,
sample_player,,,cursor () ; buffer_index () ; GRAB (1) () ; end_of_sample () ; num_beats () ,
sample_player_cut,,,speed () ; buffer_index () ; GRAB (1) () ; play () ; end_of_sample () ; start_position () ; duration () ,
sample_recorder,,,input () ; cursor () ; Record_command () ,
saturator,Applies a simple tanh distortion/saturation to the incoming signal.,,s_IN () ; body () ,
scope,Displays signal data.,,s_IN_0 () ; s_IN_1_inWindow () ; toggle () ,
sequence,Routes an incoming jolt to one of many outputs.,,Select output (stream input) Selects to which output the incoming jolt will be routed to.; Pull (interactive) Pull to set the number of output gates.; Input (jolt input) Receives the jolt which will be routed to the selected output.; Output (jolt output) Emits the routed jolt value. One of the possible outputs the input may be routed to.,"sequence_loop, sequence_random"
sequence_loop,Routes an incoming jolt to one of many outputs in a looping manner.,,Input (jolt input) Receives the jolt which will be routed to the currently selected output and proceed to the next output.; Pull (interactive) Pull to set the number of output gates.; Select output (jolt input) Select which output should be used next time an input is received.; Output (jolt output) Emits the routed jolt value. One of the possible outputs the input may be routed to.,"sequence, sequence_random"
sequence_random,Routes an incoming jolt to a random output.,,Input (jolt input) Receives the jolt which will be routed to one of the outputs at random.; Pull (interactive) Pull to set the number of output gates.; Output (jolt output) Emits the routed jolt value. One of the possible outputs the input may be routed to.,"sequence, bernoulli"
set_dsp_enabled,Enable or disable audio processing for selected blocks.,,"Selector (selector) Selects which blocks/groups to enable or disable.; DSP Enable (jolt input) Send a 1 to enable DSP processing, 0 to disable.",
sign,"Sign of incoming value: 1 if positive, -1 if negative.",,"s_IN_0 ()  a; Input (stream input) Value for which the sign will be determined.",compare
sin,Calculates sine value of A,,s_IN_0 ()  a; A (stream input) Value for which the sine will be calculated.,cos
skip_button,Press the button - triggers a jolt input when activated.,,Button () Button; Emitter () Emits jolt of active value; e_I () Jolt input,
slider,You can change the value with your controller. Goes from 0 to 1.,,Grab sphere VR () ; eR_set () ; PULL_extend () ; PULL_fader () ,
sliderboard,Editable array of silders.,,btn_dbug () ; ResizeHandle () ; OUT () ; WRITE () ; s_IN_0_rows () ; s_IN_1_columns () ; Grab sphere VR () ; eR_set () ; PULL_extend () ; PULL_fader () ,
slider_3d,"A three-dimensional slider with x, y, and z outputs.",,hide_show (jolt input) Send a value of one to show the ball or zero to hide it.; extend_x (interactive) Pull to extend the x-axis.; extend_y (interactive) Pull to extend the x-axis.; extend_z (interactive) Pull to extend the z-axis.; ball (interactive) The ball whose position determines the output values.; output_x (stream output) Outputs the x position of the ball.; output_y (stream output) Outputs the y position of the ball.; output_z (stream output) Outputs the z position of the ball.,
slider_3d_jolt,A slider with three axes that lets you control three values at onces.,Has three resizable axes. Sends out a jolt per axis and has jolt inputs to set the value along each axis individually.,Resize (Interactive) Drag to resize; Value (Interactive) Drag to change the output value; Output X (jolt output) Sends out the value of the X axis.; Output Y (jolt output) Sends out the value of the Y axis.; Output Z (jolt output) Sends out the value of the Z axis.; Input X (Jolt input) Send a jolt between zero and one to set the value along the X axis.; Input Y (Jolt input) Send a jolt between zero and one to set the value along the Y axis.; Input Z (Jolt input) Send a jolt between zero and one to set the value along the Z axis.,
slider_db,,,Grab sphere VR () ; eR_set () ; PULL_extend () ; PULL_fader () ,
spacer,Connect to streams away from each other.,,arm_handle () ; s_IN () Stream input,
speaker,This is your sound source. Speakers translate the values of what you are building into audio.,,s_IN () ,
speaker_2D,A non-spatialised sound source outputting directly to your physical speakers or headphones. Speakers translate the values of what you are building into audio. Use the second input to control panning (-1 to 1).,,"s_IN ()  Audio input; s_IN_pan ()  Left/Right pan (-1 to 1)",
split,"Splitter, transmits one input stream as two identical stream outputs (A and B) - like a thru box or splitter box.",,BODY () ; Input (stream input) Stream input to be passed to both (A and B) outputs unchanged.; Output A (stream output) First stream output.; Output B (stream output) Second stream output.,"extension, fork"
spotlight,HSV-colored spot light.,,hue () ; saturation () ; value () ; Angle () ,
statevariable,"A state variable filter, with center frequency, resonance and filter type settings.",,Signal input (stream input) The input signal.; Center frequency (stream input) Center frequency of the filter (in Hz). Must not be less than one.; Resonance (stream input) Resonance of the filter. Must not be less than zero.; Filter type (jolt input) Sets the type of the filter.,"lowpass, highpass, onepole, ladder, allpass2"
stepped_dial,A dial with a configurable number of steps.,Used for switching between two or more discrete options.,input (jolt input) Sets the currently selected step.; output (jolt output) Emits the currently selected step when it changes.; Dial (Interactive) Press trigger and turn to move the dial.,
stoe,Send a jolt value each time the input stream changes. (max 90Hz by default),,input (stream input) The stream to convert.; output (event output) Emits the value of the incoming stream as a jolt.,
string,A string (like a guitar string) you can strike with your controller or hit with marbles to make sound.,A simulation or e.g. a guitar string with a natural sound. Can interact with other kinetic object such as your controller or marbles. Changes its sound subtly depending on where you hit it.,Sustain (knob) Controls for how long the string will ring out when struck (in seconds).; Sustain (jolt input) Send a jolt to set the sustain of the string (in seconds).; String (interactive) Strike or hit with a marble to make sound; Length (interactive) Use the trigger button and push/pull to change the length/pitch of the string.; Pitch (jolt input) Send a MIDI note (e.g. from a keyboard) to set the pitch of the string.; Output (stream output) Sends out the sound of the string. Will mute the string when plugged in.,
string_with_output,A physcal model of a string that can interact with marbles and your controller. Has a stream output to connect it to the rest of your patch.,,"sustain (knob) Control how long the string will ring out after it's been excited.; brightness (knob) Controls how bright the string sound is; string (interactive) The string you can hit with ; inharmonicity (interactive) Pull to change the radius of the string, making the sound more bell-like.; length_pitch (interactive) Pull/push to change the length of the string and thereby its pitch.",
subtract,"Subtract one number from another and outputs the result using a simple A - B math operation, can be used to calculate difference between two signals.",,A (stream input) Value from wich the B will be subtracted; B (stream input) Value to be subtracted from A,"add, multiply, divide, subtract_jolt"
subtract_jolt,Subtracts stream number from jolt input and outputs the result as jolt.,,"Subtract (stream input) Sets the value to be subtracted from the jolt input value (without triggering the output).; Calculate (jolt input) Receives value from which the stream value will be subtracted, triggers the calculation.; Result (jolt output) Emits results of subtracting stream value from jolt value on each received jolt.; toggle () Toggle","add_jolt, multiply_jolt, divide_jolt, subtract"
sunlight,Let you change color and sun orientation.,,"s_IN_r ()  Red amount; s_IN_g ()  Green amount; s_IN_b ()  Blue amount; s_IN_f ()  Global intensity; hue () ; saturation () ; value () ; Grab sphere VR () ",
s_reader,"When 'IN gets an event, 'OUT fires the value of ~IN",,"e_OUT ()  'OUT; s_IN ()  ~IN; e_IN_HOT ()  'IN; e_IN_Hot () ",
tanh,Hyperbolic tangent of the stream input. Can be used to create for example soft clipping at 1 and -1.,,s_IN_0 ()  a; Input (stream input) Value for which the hyperbolic tangent will be calculated.,wavefolder
timecontrol,Pause / Resume / speed up tempo affecting phasors.,,Grab sphere VR () ; Back_Button_ () ; Pause_Button_ () ; Skip_Button_Left () ; Skip_Button_Right () ; Forward_Button_ End () ; tempo_knob () ,
toggle,"Set and send state as on or off, with indicator.",,TOGGLE_state_indicator () ; EventReciver () ,
toggleboard,"Editable, resizable array of toggles.",,s_IN_rows_0 () Stream input - number of rows; s_IN_columns_1 () Stream input - number of columns; resize () Resize; OUT () Out; WRITE () Write; btn_dbug () ; toggleboard_piece(Clone) () ,
toggleboardcmd,Editable array of toggle buttons.,,,
to_db,Converts from amplitude to dB,,s_IN_0 ()  a; Input (stream input) Amplitude value which will be converted to dB.,from_db
trail_pencil,,,Width () ; Trail Life Time () ; Hue () ; Saturation () ; Brightness () ,
trigger_box,A resizable area the can detect if a player or a ghost is inside. Detection of ghosts can be disabled via the inspector.,,Player inside (jolt output) Emits a jolt with value 1 when the player (or a ghost) enters the area and a 0 when they leave.; Resize handle (interactive) Grab and move to resize the trigger area.,
txt,Let you place floating text.,,text_IN () ,
uknob,"a unit knob t

u unit:  0  to 1 ",,knobBody () ,
uton,"Converts a unit to normal

u unit:       0  to 1 
n: normal -1 to 1
r: range : any range",,s_IN () ,
utor,"Converts a unit range to any set {A to B} range. Example: use a slider that goes from 0 to 1, connect it to the top part of the utor and then use the other two inptus to set output range.


u (unit): 0 to 1 
n (normal): -1 to 1
r (range): any range",,"Top: ()  get a signal to drive the conversion ; left: ()  top; Input (stream input) Value to be mapped.; A (stream input) Output range lower value.; B (stream input) Output range upper value.","rtou, map, clamp"
value,"A button that emits a number value. Hit the sphere, or send a Jolt to the input to emit a value. Set the value that will be emitted by adjusting the number with the trigger button.",, () ; Trigger (jolt input) Triggers the output to emit the set number value.; Output (jolt output) Emits the set value when triggered.; Value (interactive) Sets the value that will be emitted (without triggering the output).,"button, get, slider, knob"
vel,Outputs the difference (delta) between the current and the previous sample value.,,Signal input (stream input) Signal to be analyzed.; Grab sphere VR () ,
venue_brain,"Background for the environment 

write in the console:

spawn venue_brain",,VR Grab Handle () ,
venue_lightsaber,"Background for the environment 

write in the console:

spawn venue_lightsaber",,VR Grab Handle () ,
venue_mountains,"Background for the environment 

write in the console:

spawn bg_mountains",,VR Grab Handle () ,
venue_ozelot,"Background for the environment 

write in the console:

spawn venue_ozelot",,VR Grab Handle () ,
venue_spacestation,"Background for the environment 

write in the console:

spawn bg_spacestation",,VR Grab Handle () ,
venue_underwater,"Background for the environment 

write in the console:

spawn venue_underwater",,VR Grab Handle () ,
venue_wireframe,,,VR Grab Handle () ,
violin,Violin physical model generator ,,s_IN_0 () ; s_IN_1 () ; s_IN_2 () ; s_IN_3 () ,
wall,A wall to bounce collision objects like marbles,,Grab () ; extensionHandle () ,
watcher,"Compares two stream values. Every time the condition is met, signal output will send the value of 1.",,Signal input (stream input) Stream input value to compare with value from second inlet.; Compare with (stream input) Sets the value that will be compared with the incoming value from the signal input.; Output (jolt output) Sends jolt value every time the condition begins to be true; SetTypeReciever () ; Comparison operation (interactive) Sets the type of the comparison operation.,compare
wavefolder,A wave shaper that looks for values out of the [-1 and 1] range and mirrors the excess back into the [-1 and 1] range.,,Signal input (stream input) Signal to be folded.; body () ,
wireless_in,Sends stream from one place in your patch to the corresponding 'wireless_out' blocks. Each 'wireless_in' and 'wireless_out' set of blocks within one connection need to have the same name. Each wireless connection needs to have a unique name.,,Connection name (text) Name of the connection - the same as the name of corresponding 'wireless_out' block.; Input (stream input) Stream to be sent.,wireless_out
wireless_in_jolt,Receives stream sent from the corresponding 'wireless_out_jolt' blocks. Each 'wireless_in_jolt' and 'wireless_out_jolt' set of blocks within one connection need to have the same name. Each wireless connection needs to have a unique name.,,Connection name (text) Name of the connection - the same as the name of the corresponding 'wireless_out_jolt' block.; Output (jolt output) Emits received jolt.,
wireless_out,Receives stream sent from the corresponding 'wireless_in' blocks. Each 'wireless_in' and 'wireless_out' set of blocks within one connection need to have the same name. Each wireless connection needs to have a unique name.,,Connection name (text) Name of the connection - the same as the name of the corresponding 'wireless_in' block.,wireless_in
wireless_out_jolt,Sends jolt from one place in your patch to the corresponding 'wireless_in_jolt' blocks. Each 'wireless_in_jolt' and 'wireless_out_jolt' set of blocks within one connection need to have the same name. Each wireless connection needs to have a unique name.,,Input (jolt input) Jolt to be sent.; Connection name (text) Name of the connection - the same as the name of corresponding 'wireless_in_jolt' block.,
